p,Pflow,dMin,Smax,Save
0.01,0,0,1.3917,1.19585
0.02,0,0,1.9454,1.4720250000000006
0.03,0,0,2.3096,1.6502500000000055
0.04,0,0,2.6444,1.812133333333336
0.05,0,0,3.0089,1.9867833333333371
0.06,0,0,3.3459,2.1501249999999965
0.07,0,0,3.6803,2.305253333333337
0.08,0,0,4.0316,2.4678833333333436
0.09,0,0,4.378,2.6281959523809793
0.10,0,0,4.75,2.7981452380952816
0.11,0,0,5.1437,2.973944642857196
0.12,0,0,5.5182,3.139743571428639
0.13,0,0,5.9521,3.3220932142857773
0.14,0,0,6.3764,3.5071000396825953
0.15,0,0,6.8292,3.6929053968254264
0.16,0,0,7.3153,3.8993680555555796
0.17,0,0,7.8327,4.110654347041868
0.18,0,0,8.3542,4.324652691197695
0.19,0,0,8.9619,4.557497002164483
0.20,0,0,9.5469,4.786881018980984
0.21,0,0,10.2034,5.044019079254006
0.22,0,0,10.9138,5.303051429958861
0.23,0,0,11.6682,5.573556134421037
0.24,0,0,12.4855,5.881121942501896
0.25,0,0,13.4401,6.199911737567975
0.26,0,0,14.3635,6.505890833194572
0.27,0,0,15.2831,6.838596031697067
0.28,0,0,16.3927,7.196693599904994
0.29,0,0,17.5721,7.568664923826128
0.30,0,0,18.854,7.960152386563337
0.31,0,0,20.3363,8.407683726422746
0.32,0,0,21.9132,8.885493982810234
0.33,0,0,23.513,9.34432867405825
0.34,0,0,25.5816,9.878036401862989
0.35,0,0,27.6068,10.417920516639542
0.36,0,0,29.9611,11.01584531124558
0.37,0,0,32.7421,11.66857010669869
0.38,0,0,35.5082,12.354576450953333
0.39,0,0,38.8739,13.07076127495423
0.40,0,0,42.7265,13.86928526954087
0.41,0,0,47.0994,14.74827711195884
0.42,0,0,51.7692,15.660708517863057
0.43,0,0,57.4743,16.641043909654073
0.44,0,0,63.7871,17.718222587375493
0.45,0.0001,85.0,71.7134,18.964789457311145
0.46,0,0,80.5768,20.271365357961137
0.47,0,0,90.5048,21.687022058883695
0.48,0,0,103.3061,23.27164716260977
0.49,0.0004,73.5,118.3798,25.101305184647586
0.50,0.0012,79.91666666666667,137.2627,27.201689549045724
0.51,0.0025,84.84,161.0443,29.467586874208816
0.52,0.0066,82.42424242424242,188.7264,32.032306786962785
0.53,0.017,84.3,225.4036,35.261282527985514
0.54,0.0305,83.66885245901639,268.4369,38.790300820123974
0.55,0.0685,83.46569343065694,324.1904,42.99853474551802
0.56,0.123,83.2260162601626,393.9568,48.012722260252744
0.57,0.209,82.4090909090909,482.388,54.24348286991932
0.58,0.324,80.69197530864197,585.2485,61.34471526379845
0.59,0.4698,79.6800766283525,708.255,70.10286737792214
0.60,0.6233,77.20744424835553,845.8355,80.45024521540583
0.61,0.7436,75.31522323830016,980.3319,92.55297564793517
0.62,0.8391,73.11762602788703,1106.0708,105.76036928318582
0.63,0.9147,70.83131081228818,1234.3289,121.98690550502721
0.64,0.9578,68.88577991229901,1336.6154,139.7366725847413
0.65,0.9818,66.92860052963944,1427.262,159.34084437400924
0.66,0.9928,65.18382352941177,1499.0961,180.77927990555241
0.67,0.9964,63.87826174227218,1556.4979,204.69356464604186
0.68,0.9986,62.670438614059684,1607.6203,231.41876058607997
0.69,0.9998,61.46699339867973,1651.4188,259.1669487254414
0.70,0.9998,60.544808961792356,1691.6676,291.19985794066946
0.71,1.0,59.7035,1727.3559,325.4248935714288
0.72,1.0,58.9035,1760.7395,365.1799722222237
0.73,1.0,58.1595,1793.5122,404.95897313491986
0.74,1.0,57.54,1823.4176,449.83901999999995
0.75,1.0,56.9014,1853.7295,501.0871276984132
0.76,1.0,56.3584,1882.287,549.9261912301577
0.77,1.0,55.762,1911.0824,607.2350349999997
0.78,1.0,55.2845,1938.5749,664.4360217857167
0.79,1.0,54.8136,1965.6929,718.0675864285713
0.80,1.0,54.3505,1992.6797,780.9950016666659
0.81,1.0,53.9462,2018.845,838.7967866666654
0.82,1.0,53.524,2044.9855,905.9003199999994
0.83,1.0,53.1412,2071.1556,986.6902816666689
0.84,1.0,52.791,2096.8935,1075.6897933333348
0.85,1.0,52.4216,2122.5196,1180.587365000002
0.86,1.0,52.1057,2148.1623,1293.6653949999998
0.87,1.0,51.7971,2173.7578,1425.2460416666677
0.88,1.0,51.4941,2198.9225,1556.7170333333336
0.89,1.0,51.2013,2224.4687,1694.6469083333343
0.90,1.0,50.9393,2249.3278,1829.4600916666668
0.91,1.0,50.6935,2274.5956,1955.5172083333332
0.92,1.0,50.4611,2299.9076,2073.440175
0.93,1.0,50.2535,2324.9652,2170.640366666667
0.94,1.0,50.0992,2349.843,2251.0755999999997
0.95,1.0,50.0182,2375.0519,2320.23825
0.96,1.0,50.0011,2399.966,2368.34265
0.97,1.0,50.0,2425.0393,2412.41585
0.98,1.0,50.0,2450.0164,2445.98125
0.99,1.0,50.0,2475.027,2474.2865
1.00,1.0,50.0,2500.0,2500.0
