s,"n(s,p,L)"
1,4.9619
2,1.5131
3,0.9946
4,0.6732
5,0.4819
6,0.3636
7,0.2869
8,0.2234
9,0.1854
10,0.163
11,0.1297
12,0.1129
13,0.1
14,0.0847
15,0.0764
16,0.0645
17,0.058
18,0.0504
19,0.0457
20,0.0433
21,0.0405
22,0.0337
23,0.031
24,0.0332
25,0.0265
26,0.0249
27,0.0209
28,0.0187
29,0.0156
30,0.0141
31,0.0143
32,0.0136
33,0.014
34,0.0087
35,0.0097
36,0.0089
37,0.0077
38,0.0068
39,0.0072
40,0.0051
41,0.0059
42,0.0046
43,0.0037
44,0.0057
45,0.0027
46,0.0036
47,0.002
48,0.0021
49,0.002
50,0.0018
51,0.0008
52,0.0011
53,0.0007
54,0.0009
55,0.0006
56,0.0006
57,0.0001
58,0.0004
59,0.0001
60,0.0001
61,0.0001
62,0.0001
63,0.0001
65,0.0001
